type,time_start,time_end,score
speech_segment,1091.61,1096.16,
speech_segment,1096.52,1100.06,
speech_segment,1100.13,1101.20,
speech_segment,1101.53,1106.68,
speech_segment,1106.95,1110.00,
speech_segment,1110.23,1113.98,
speech_segment,1113.90,1124.58,
speech_segment,1124.57,1129.97,
speech_segment,1129.97,1132.21,
speech_segment,1132.18,1133.76,
speech_segment,1135.83,1137.40,
speech_segment,1137.38,1139.62,
speech_segment,1140.32,1145.72,
speech_segment,1145.94,1152.38,
speech_segment,1152.32,1153.73,
speech_segment,1153.64,1156.48,
speech_segment,1156.48,1158.79,
speech_segment,1158.94,1163.24,
speech_segment,1163.46,1166.44,
speech_segment,1166.56,1169.33,
speech_segment,1169.58,1173.28,
speech_segment,1173.43,1180.78,
speech_segment,1180.81,1183.05,
speech_segment,1182.99,1184.07,
speech_segment,1184.24,1190.35,
speech_segment,1190.30,1193.65,
speech_segment,1193.59,1199.87,
speech_segment,1199.79,1201.70,
speech_segment,1201.72,1203.75,
speech_segment,1205.81,1209.78,
speech_segment,1209.75,1222.36,
speech_segment,1222.40,1224.72,
speech_segment,1225.55,1230.95,
speech_segment,1232.32,1250.47,
speech_segment,1250.93,1255.62,
speech_segment,1255.74,1264.51,
speech_segment,1264.50,1280.74,
speech_segment,1280.89,1285.16,
speech_segment,1285.15,1288.37,
speech_segment,1288.35,1290.53,
speech_segment,1290.46,1295.34,
speech_segment,1295.31,1303.15,
speech_segment,1303.54,1306.94,
speech_segment,1306.89,1308.74,
speech_segment,1308.74,1315.55,
speech_segment,1315.60,1325.39,
speech_segment,1325.32,1326.50,
speech_segment,1326.40,1334.11,
speech_segment,1334.20,1338.02,
speech_segment,1339.16,1347.81,
speech_segment,1348.26,1349.91,
speech_segment,1349.92,1357.42,
speech_segment,1357.63,1361.73,
speech_segment,1361.90,1369.12,
speech_segment,1369.19,1371.23,
speech_segment,1371.67,1372.60,
speech_segment,1372.70,1374.05,
speech_segment,1374.81,1384.49,
speech_segment,1385.05,1386.12,
speech_segment,1386.15,1391.87,
speech_segment,1392.23,1393.75,
speech_segment,1394.95,1397.10,
speech_segment,1397.32,1404.46,
speech_segment,1404.44,1409.50,
speech_segment,1409.47,1411.15,
speech_segment,1411.67,1414.61,
speech_segment,1415.04,1416.28,
speech_segment,1416.29,1424.73,
speech_segment,1424.73,1426.07,
speech_segment,1426.06,1434.54,
speech_segment,1434.55,1439.18,
speech_segment,1439.19,1446.92,
speech_segment,1451.17,1454.22,
speech_segment,1454.17,1456.68,
speech_segment,1456.92,1461.75,
speech_segment,1463.37,1465.73,
speech_segment,1467.04,1481.33,
speech_segment,1481.32,1487.55,
speech_segment,1487.95,1489.84,
speech_segment,1490.42,1496.12,
speech_segment,1496.04,1508.12,
speech_segment,1508.19,1513.89,
speech_segment,1513.85,1514.86,
speech_segment,1514.92,1518.49,
speech_segment,1518.42,1519.73,
speech_segment,1520.73,1525.13,
speech_segment,1525.26,1528.85,
speech_segment,1529.04,1533.09,
speech_segment,1534.12,1537.95,
speech_segment,1537.91,1540.85,
speech_segment,1542.50,1546.08,
speech_segment,1546.15,1550.99,
speech_segment,1552.81,1556.27,
speech_segment,1556.45,1564.42,
speech_segment,1564.43,1566.74,
speech_segment,1566.80,1568.94,
speech_segment,1569.08,1573.51,
speech_segment,1573.62,1578.77,
speech_segment,1578.69,1581.97,
speech_segment,1582.25,1585.46,
speech_segment,1585.45,1586.70,
speech_segment,1587.15,1591.54,
speech_segment,1591.63,1593.87,
speech_segment,1594.33,1597.32,
speech_segment,1597.36,1602.75,
speech_segment,1602.95,1606.25,
speech_segment,1607.42,1608.43,
speech_segment,1608.96,1611.37,
speech_segment,1611.47,1613.40,
speech_segment,1613.87,1616.02,
speech_segment,1617.85,1623.55,
speech_segment,1623.47,1639.82,
speech_segment,1639.82,1646.29,
speech_segment,1646.23,1649.28,
speech_segment,1649.36,1650.35,
speech_segment,1650.30,1664.09,
speech_segment,1664.67,1668.80,
speech_segment,1668.83,1672.03,
speech_segment,1672.54,1675.58,
speech_segment,1677.55,1682.46,
speech_segment,1682.89,1684.06,
speech_segment,1684.21,1689.35,
speech_segment,1689.26,1691.26,
speech_segment,1691.23,1694.23,
speech_segment,1694.14,1696.75,
speech_segment,1696.77,1732.79,
speech_segment,1732.91,1738.83,
speech_segment,1741.34,1743.00,
speech_segment,1742.97,1744.20,
speech_segment,1744.12,1751.32,
speech_segment,1751.59,1752.59,
speech_segment,1752.95,1755.73,
speech_segment,1755.93,1783.76,
speech_segment,1783.71,1786.78,
speech_segment,1786.86,1791.71,
speech_segment,1792.35,1800.20,
speech_segment,1800.12,1801.24,
speech_segment,1801.91,1804.01,
speech_segment,1805.45,1808.83,
speech_segment,1808.88,1812.93,
speech_segment,1815.04,1816.02,
speech_segment,1816.72,1820.64,
speech_segment,1821.03,1824.74,
speech_segment,1824.95,1826.97,
speech_segment,1827.34,1834.20,
speech_segment,1834.54,1839.65,
speech_segment,1915.40,1916.09,
speech_segment,1916.77,1917.91,
speech_segment,1918.17,1919.88,
speech_segment,1922.95,1925.45,
speech_segment,1925.41,1926.84,
speech_segment,1927.64,1931.28,
speech_segment,1931.37,1933.24,
speech_segment,1964.43,1964.98,
speech_segment,1966.06,1969.12,
speech_segment,1972.07,1974.15,
speech_segment,1974.50,1975.43,
speech_segment,1976.37,1977.12,
speech_segment,1977.75,1978.30,
speech_segment,1988.66,1989.24,
speech_segment,1991.50,1992.95,
speech_segment,1995.54,1996.09,
speech_segment,1999.37,2000.22,
speech_segment,2002.62,2007.01,
speech_segment,2007.15,2011.42,
speech_segment,2011.58,2014.88,
speech_segment,2019.32,2027.60,
speech_segment,2027.76,2032.75,
speech_segment,2033.95,2038.19,
speech_segment,2038.45,2040.78,
speech_segment,2041.76,2043.93,
speech_segment,2043.88,2051.43,
speech_segment,2051.40,2053.94,
speech_segment,2053.86,2055.22,
speech_segment,2055.14,2057.10,
speech_segment,2068.71,2070.15,
speech_segment,2070.74,2075.15,
speech_segment,2075.38,2076.28,
speech_segment,2076.26,2078.15,
speech_segment,2078.26,2079.66,
speech_segment,2080.42,2088.29,
speech_segment,2089.40,2092.99,
speech_segment,2093.07,2098.21,
speech_segment,2100.31,2102.09,
speech_segment,2102.22,2103.68,
speech_segment,2104.47,2106.03,
speech_segment,2108.86,2111.32,
speech_segment,2111.52,2117.63,
speech_segment,2117.62,2119.88,
speech_segment,2120.36,2122.36,
speech_segment,2122.83,2126.98,
speech_segment,2127.04,2130.54,
speech_segment,2130.45,2140.89,
speech_segment,2141.29,2143.70,
speech_segment,2144.20,2146.59,
speech_segment,2147.22,2148.92,
speech_segment,2149.27,2151.19,
speech_segment,2151.88,2155.89,
speech_segment,2155.81,2157.63,
speech_segment,2157.60,2161.34,
speech_segment,2161.60,2169.74,
speech_segment,2173.50,2178.25,
speech_segment,2178.72,2180.47,
speech_segment,2188.77,2189.80,
speech_segment,2189.84,2191.06,
speech_segment,2193.71,2198.23,
speech_segment,2198.16,2199.57,
speech_segment,2217.99,2227.59,
speech_segment,2228.67,2231.73,
speech_segment,2232.35,2235.08,
speech_segment,2235.56,2236.61,
speech_segment,2237.07,2238.16,
speech_segment,2238.77,2241.06,
speech_segment,2241.67,2245.12,
speech_segment,2245.22,2246.89,
speech_segment,2248.32,2254.73,
speech_segment,2255.65,2257.47,
speech_segment,2258.07,2260.33,
speech_segment,2261.83,2263.58,
speech_segment,2264.87,2267.70,
speech_segment,2268.32,2271.80,
speech_segment,2272.04,2274.22,
speech_segment,2274.24,2275.93,
speech_segment,2276.42,2280.00,
speech_segment,2279.93,2281.12,
speech_segment,2281.23,2285.53,
speech_segment,2286.23,2289.73,
speech_segment,2290.68,2292.35,
speech_segment,2292.31,2302.88,
speech_segment,2302.92,2305.84,
speech_segment,2305.95,2310.06,
speech_segment,2312.45,2319.95,
speech_segment,2319.95,2322.99,
speech_segment,2323.28,2324.16,
speech_segment,2324.10,2325.18,
speech_segment,2325.56,2331.66,
speech_segment,2333.20,2345.57,
speech_segment,2348.63,2355.13,
speech_segment,2356.11,2358.58,
speech_segment,2358.65,2360.84,
speech_segment,2360.86,2363.37,
speech_segment,2364.17,2365.62,
speech_segment,2365.66,2367.06,
speech_segment,2367.05,2369.09,
speech_segment,2369.80,2373.16,
speech_segment,2378.03,2383.32,
speech_segment,2383.35,2384.80,
speech_segment,2395.14,2400.07,
speech_segment,2400.05,2401.55,
speech_segment,2401.54,2402.85,
speech_segment,2402.99,2409.57,
speech_segment,2409.76,2413.48,
speech_segment,2415.62,2419.77,
speech_segment,2420.09,2421.33,
speech_segment,2421.74,2423.76,
speech_segment,2424.20,2426.80,
speech_segment,2426.82,2428.42,
speech_segment,2428.67,2439.39,
speech_segment,2439.32,2444.90,
speech_segment,2445.12,2446.63,
speech_segment,2446.69,2449.62,
speech_segment,2450.30,2451.61,
speech_segment,2451.68,2453.63,
speech_segment,2453.79,2455.60,
speech_segment,2456.51,2459.04,
speech_segment,2459.85,2463.08,
speech_segment,2463.94,2465.65,
speech_segment,2465.83,2470.57,
speech_segment,2470.66,2472.58,
speech_segment,2473.18,2485.47,
speech_segment,2485.54,2492.30,
speech_segment,2492.59,2496.27,
speech_segment,2497.49,2499.88,
speech_segment,2500.18,2504.49,
speech_segment,2504.93,2506.66,
speech_segment,2506.93,2508.58,
speech_segment,2508.51,2512.62,
speech_segment,2512.56,2516.58,
speech_segment,2516.63,2518.91,
speech_segment,2519.17,2522.66,
speech_segment,2522.57,2539.41,
speech_segment,2540.09,2541.85,
speech_segment,2542.41,2543.31,
speech_segment,2544.48,2549.52,
speech_segment,2549.50,2553.44,
speech_segment,2586.52,2587.12,
speech_segment,2761.45,2762.82,
speech_segment,2769.31,2769.88,
speech_segment,2773.29,2773.92,
speech_segment,2802.48,2803.06,
speech_segment,2900.30,2900.98,
speech_segment,2918.52,2919.09,
speech_segment,2985.68,2986.22,
speech_segment,2998.76,2999.34,
speech_segment,3001.06,3002.39,
speech_segment,3002.39,3002.92,
speech_segment,3002.82,3003.38,
speech_segment,3003.34,3003.90,
speech_segment,3008.77,3009.33,
speech_segment,3067.75,3068.37,
speech_segment,3072.19,3072.80,
speech_segment,3073.09,3073.64,
speech_segment,3123.69,3130.09,
speech_segment,3130.16,3135.12,
speech_segment,3135.03,3144.04,
speech_segment,3144.10,3149.35,
speech_segment,3149.70,3153.88,
speech_segment,3153.97,3159.63,
speech_segment,3159.66,3162.61,
speech_segment,3162.69,3164.79,
speech_segment,3165.08,3172.06,
speech_segment,3172.03,3176.55,
speech_segment,3176.79,3178.61,
speech_segment,3178.94,3180.86,
speech_segment,3180.89,3184.28,
speech_segment,3184.24,3186.62,
speech_segment,3186.66,3188.14,
speech_segment,3188.24,3193.27,
speech_segment,3193.72,3198.46,
speech_segment,3198.73,3202.17,
speech_segment,3202.19,3206.25,
speech_segment,3206.28,3209.91,
speech_segment,3209.81,3213.11,
speech_segment,3213.15,3217.55,
speech_segment,3217.66,3219.23,
speech_segment,3220.08,3223.81,
speech_segment,3223.81,3226.12,
speech_segment,3226.15,3228.20,
speech_segment,3228.53,3231.28,
speech_segment,3231.90,3233.24,
speech_segment,3233.36,3236.04,
speech_segment,3236.39,3238.35,
speech_segment,3239.31,3240.50,
speech_segment,3240.54,3242.76,
speech_segment,3243.01,3244.51,
speech_segment,3244.86,3247.43,
speech_segment,3248.25,3249.74,
speech_segment,3250.48,3256.38,
speech_segment,3256.45,3260.16,
speech_segment,3260.37,3264.29,
speech_segment,3264.27,3267.67,
speech_segment,3267.95,3270.57,
speech_segment,3270.53,3277.08,
speech_segment,3277.21,3281.57,
speech_segment,3281.73,3285.05,
speech_segment,3285.00,3288.62,
speech_segment,3289.22,3290.18,
speech_segment,3290.23,3292.22,
speech_segment,3292.21,3295.93,
speech_segment,3296.16,3297.79,
speech_segment,3297.83,3299.75,
speech_segment,3301.86,3305.47,
speech_segment,3306.90,3310.64,
speech_segment,3311.02,3314.51,
speech_segment,3315.06,3316.83,
speech_segment,3317.64,3320.26,
speech_segment,3321.40,3325.04,
speech_segment,3325.22,3327.46,
speech_segment,3327.45,3328.73,
speech_segment,3328.83,3330.40,
speech_segment,3330.54,3332.85,
speech_segment,3333.14,3335.66,
speech_segment,3335.70,3336.69,
speech_segment,3337.62,3341.27,
speech_segment,3342.83,3345.84,
speech_segment,3345.78,3350.29,
speech_segment,3350.36,3352.11,
speech_segment,3353.66,3354.67,
speech_segment,3354.72,3356.34,
speech_segment,3356.71,3358.29,
speech_segment,3359.36,3363.22,
speech_segment,3365.06,3366.44,
speech_segment,3368.85,3369.96,
speech_segment,3369.98,3372.02,
speech_segment,3373.58,3376.04,
speech_segment,3376.39,3379.46,
speech_segment,3380.02,3381.85,
speech_segment,3381.85,3383.94,
speech_segment,3385.56,3388.79,
speech_segment,3390.69,3395.03,
speech_segment,3395.00,3396.88,
speech_segment,3397.07,3400.61,
speech_segment,3401.19,3403.07,
speech_segment,3403.17,3408.20,
speech_segment,3408.17,3414.31,
speech_segment,3414.49,3416.02,
speech_segment,3417.64,3418.57,
speech_segment,3418.96,3422.54,
speech_segment,3422.57,3426.18,
speech_segment,3426.93,3428.81,
speech_segment,3428.78,3432.07,
speech_segment,3432.52,3440.16,
speech_segment,3440.07,3441.95,
speech_segment,3441.90,3447.40,
speech_segment,3447.39,3450.00,
speech_segment,3450.67,3453.09,
speech_segment,3453.74,3462.80,
speech_segment,3462.75,3466.28,
speech_segment,3466.34,3470.48,
speech_segment,3470.41,3477.92,
speech_segment,3478.49,3483.06,
speech_segment,3483.41,3485.36,
speech_segment,3486.46,3489.49,
speech_segment,3489.40,3490.83,
speech_segment,3491.48,3492.93,
speech_segment,3493.53,3496.83,
speech_segment,3497.77,3499.74,
speech_segment,3499.77,3502.45,
speech_segment,3502.53,3504.20,
speech_segment,3504.13,3508.32,
speech_segment,3509.21,3511.41,
speech_segment,3511.82,3514.77,
speech_segment,3515.39,3516.96,
speech_segment,3516.96,3518.97,
speech_segment,3519.10,3522.81,
speech_segment,3523.01,3526.55,
speech_segment,3526.81,3528.62,
speech_segment,3528.70,3531.98,
speech_segment,3532.40,3535.15,
speech_segment,3536.97,3539.49,
speech_segment,3539.41,3540.91,
speech_segment,3540.82,3545.52,
speech_segment,3546.36,3554.19,
speech_segment,3554.93,3559.70,
speech_segment,3559.62,3564.56,
speech_segment,3564.69,3567.69,
speech_segment,3567.80,3572.57,
speech_segment,3572.64,3578.54,
speech_segment,3578.46,3581.18,
speech_segment,3581.12,3583.47,
speech_segment,3583.45,3585.64,
speech_segment,3585.58,3588.90,
speech_segment,3589.69,3591.56,
speech_segment,3591.50,3595.04,
speech_segment,3604.90,3605.46,
speech_segment,3608.93,3609.52,
speech_segment,3609.71,3610.28,
speech_segment,3612.38,3619.94,
speech_segment,3620.37,3622.20,
speech_segment,3623.03,3627.56,
speech_segment,3627.91,3631.76,
speech_segment,3632.51,3634.01,
speech_segment,3633.92,3641.21,
speech_segment,3641.24,3648.82,
speech_segment,3648.86,3650.07,
speech_segment,3650.62,3651.96,
speech_segment,3653.87,3654.73,
speech_segment,3654.64,3659.72,
speech_segment,3659.68,3662.38,
speech_segment,3662.30,3668.83,
speech_segment,3668.77,3673.05,
speech_segment,3675.04,3678.42,
speech_segment,3678.46,3685.65,
speech_segment,3685.58,3687.19,
speech_segment,3687.49,3688.87,
speech_segment,3688.90,3690.62,
speech_segment,3690.56,3691.61,
speech_segment,3691.54,3694.36,
speech_segment,3695.33,3702.90,
speech_segment,3702.81,3706.15,
speech_segment,3709.58,3710.34,
speech_segment,3710.49,3711.38,
speech_segment,3714.29,3714.99,
speech_segment,3715.95,3720.19,
speech_segment,3720.17,3724.88,
speech_segment,3724.99,3725.53,
speech_segment,3729.10,3735.41,
speech_segment,3735.46,3736.78,
speech_segment,3736.78,3738.53,
speech_segment,3740.49,3744.54,
speech_segment,3744.83,3747.67,
speech_segment,3747.66,3749.55,
speech_segment,3753.35,3757.53,
speech_segment,3757.77,3759.48,
speech_segment,3759.51,3761.23,
speech_segment,3762.29,3767.49,
speech_segment,3768.28,3769.35,
speech_segment,3769.94,3773.92,
speech_segment,3776.44,3778.75,
speech_segment,3781.09,3784.50,
speech_segment,3784.42,3790.05,
speech_segment,3791.92,3792.81,
speech_segment,3792.83,3796.05,
speech_segment,3796.03,3800.66,
speech_segment,3800.76,3805.40,
speech_segment,3806.52,3807.58,
speech_segment,3807.54,3811.78,
speech_segment,3811.76,3816.62,
speech_segment,3816.73,3818.95,
speech_segment,3819.57,3822.70,
speech_segment,3825.00,3826.09,
speech_segment,3827.12,3829.02,
speech_segment,3830.54,3834.12,
speech_segment,3838.30,3839.60,
speech_segment,3844.23,3846.43,
speech_segment,3847.24,3850.27,
speech_segment,3851.28,3859.71,
